15.29,11.41,0,24.54,20.29,18.36,143.8,0,15.32,18.9,80.6,17.67,18.5,64,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,32.62,0,7.472,10.54,233.6,0,56.48,0,92.63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,19.44,0,0,170.9,0,0,94.87,82.96,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.81,21.91,16.56,31.28,9.309,12.26,0,7.482,20.05,10.34,0,82.9,24.77,8.837,0,19.87
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.112,0,3.935,0,0,59.98,40.47,0,18.12,164.1,0,0,50.42,0,2.37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,502.2,0,0,0,0,139.6,0.003319,0,51.81,94.77,0,43.26,0,13.24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.22,26.86,0,14.1,16.95,23.56,32.33,0,15.17,28.2,0,104.4,14.76,0,3.292,29.61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,62.06,0,16.83,0,14.1,51.28,67.03,0,14.67,0,163.1,0,0,48.41,0
0,0,0,0,0,0,0,0,0,0,0,29.13,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,155,0.94,0,0,25.89,0,0,0,0,0,0,0,26.1,19.17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.64,0,26.06,9.243,10.8,0,0,0,22.31,7.353,7.148,0,5.574,9.503,5.78,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,160.1,0,17.98,0,57.58,0,0,0,4.596,0,105.9,9.883,107.9,0,10.94
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,79.3,4.004,0,0,106.3,49.02,0,5.778,0,85.37,0,11.55,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.356,0,35.58,32.07,18.52,146.5,0,0,15.96,80.17,21.56,7.325,57.53,0,0,12.35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,37.87,138.4,0,0,213.6,0,103.4,0,92.13,10.97
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.909,0,0,0,60.9,15.09,0,202.3,0,0,86.86,73.78,0.5955,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
