0,11.432,0,3.8057,0,0,0,20.764,23.206,6.4958,33.464,2.9702,0,61.226,59.314
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,95.995,24.864,115.37,23.454,12.585,0,0,0,0,0,109.85,0,0
0,0,0,83.836,6.0112,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40.434,49.759,0,0,0,0,0,0,0,110.01,0,0,34.522
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.804,59.935,20.176,37.941,111.34,37.002,0,47.619,0,0,0,25.37,0.57775,10.633,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180.31,28.717,34.979,81.769,64.916,55.886,61.531,87.435,0,66.5,113.7,0,43.291,95.215,66.444
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.31,0,0,0,0,0,1.126,0,612.99,105.15,0,6.8174,363.77,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,42.054,0,47.551,0,72.118,6.2359,0,0,0,14.799,45.121,0,29.953
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29.211,0,54.378,7.6698,78.562,2.6613,0,30.2,6.1056,106.6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.064,303.14,93.16,533.23,233.98,85.142,0,101.76,113.3,0,300.51,10.327,67.731,461.9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.83,7.1412,16.28,40.518,15.737,16.96,113.17,47.769,22.855,62.843,28.454,24.948,0,48.005,4.2937
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.572,13.024,18.165,49.636,55.034,88.378,0,0,125.14,0,72.446,51.643,202.79,6.2019,55.519
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.669,98.593,35.867,152.6,25.71,0,0,24.013,30.594,6.7862,57.992,13.604,60.135,154.03,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14.552,12.737,29.765,24.934,34.465,0,18.323,0,13.28,17.817,0,0,18.529,12.032
101.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.2903,48.93,89.496,0,61.188,0,0,227.73,33.522,61.111,203.34,559.95,58.477,107.15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.919,18.478,7.1956,5.7589,21.529,47.441,0,0,0,0,14.777,11.842,59.433,0,6.3693
257.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,32.866,0,16.016,0,0,26.942,0,4.0983,0,33.277,10.333,14.927,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.73,24.931,330.88,525.07,39.844,93.442,188.69,24.49,876.78,62.174,180.91,0,0,63.21,339.86
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.103,0,7.7888,0,35.362,188.5,0,0,95.994,30.867,0,0,108.6,0,19.077
169.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66.33,64.353,0,4.5479,53.217,0.53657,19.786,43.385,0,0,47.341,13.647,0.33393,0
0,0,0,0,0,0,0,0,0,0,0,0,0,101.87,0
223.32,0,0,0,322.09,0,0,209.39,0,73.264,0,0,0,821.39,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,36.025,0,0,136.17,157.21,0,0,0,0,0,98.771,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.338,0,61.35,0,0,186.5,0,22.234,131.26,45.957,11.814,0,0,75.802,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
