15.42,0,0,15.12,16.59,0,12.62,0,0,9.962,0,0,65.473,57.87,11.066,22.565,8.2199,9.4745,0,0
0,0,0,0,0,0,0,0,0,531.5,0,0,0,0,0,0,0,0,0,0
72.97,26.87,293.1,88.79,71.15,74.78,14.3,89.65,0,3.668,71.504,99.655,0,27.282,13.256,39.274,53.762,5.2203,34.214,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20.17,0,51.48,0,92.92,8.552,0,0,59.8,21.349,0,0,30.46,21.858,0,10.646,0,22.942,111.89
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.926,28.2,0,52.35,0,0,10.08,0,107,32.49,12.394,0,0,0,0,9.7666,41.825,6.0193,0,0
0,0,153.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128.8,0,63.13,0,181.2,81.97,16.97,131.9,239.7,39.74,101.65,0,71.28,158.38,0,73.987,45.535,14.905,31.061,114.22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,101.37,0,0,0,0,0,0,0,0
74.59,105.2,154.4,12.2,109.8,0,0,28.69,0,0,78.288,2.6728,0,0,65.036,13.74,0,9.361,48.746,0
0,0,0,0,0,0,0,0,0,352.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68.23,11.44,0,0,16.75,0,63.468,56.343,18.364,0,22.827,0,0,11.184,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.338,266.5,149,237.3,15.8,0,97.05,130.6,0,0,0,0.77479,2.9403,0,349.49,28.08,35.508,32.419,134.56
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141.5,111.2,0,93.34,312.4,33.51,0,35.63,25.34,298.7,50.609,23.31,8.2651,0,43.857,11.394,24.133,56.636,91.631,9.4711
0,0,0,0,0,0,0,0,0,9.844,0,0,0,0,0,0,0,0,0,0
0,18.69,0,0,50.36,54.72,17.19,0,49.72,0,48.74,31.031,25.24,0,8.5283,0,142.42,0,0,288.77
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.012,0,0,0,30.43,23.07,51.2,150.6,0,0,11.933,0,1.1843,46.919,0,257.73,0,0,84.025
0,0,0,0,0,0,0,0,0,0,0,110.53,0,0,0,0,0,0,32.48,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.486,0
90.11,7.495,0,0,14.21,42.92,0,166.6,0,99.67,0,0,0,3.1029,0,269.28,308.95,169.5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.764,2.826,0,0,85.67,13.24,0,0,12.8,86.89,30.936,4.5599,0,30.273,4.767,0,0,0,1.9129,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.32,7.53,0,88.12,76.91,0,24.11,81.46,68.87,49.39,78.734,97.016,0,9.503,18.223,264.58,1.3452,46.728,117.61,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18.46,132.4,113.7,16.82,19.28,0,0,55.29,34.69,0,55.158,21.196,1.5067,48.307,44.32,112.11,0,161.7,334.14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.48,2.01,92.46,0,0,0,0,0,70.23,62.42,4.9797,13.003,0,67.845,13.628,45.104,13.399,27.889,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.24,7.346,120.3,54.52,0,0,13.16,69.97,0,0,38.839,0,0,0,0,3.4173,0,80.722,87.282,0
0,0,551.3,0,0,217.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,22.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.1,17.74,80.54,116.1,77.91,0,0,0,250.1,92.25,36.39,58.254,25.31,0,43.524,0,19.762,0,24.407,160.64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16.2,134.3,29.77,0,0,22.05,65.55,0,157.1,9.0517,0,31.519,219.26,0,9.5538,29.954,3.4136,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,199.5,0,0,0,17.41,0,130.6,0,5.7253,0,41.759,18.457,57.98,0,26.275,72.828,20.621,57.557
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5592,0
93.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.2,7.74,0,203.2,61.81,0,0,367.2,0,35.84,14.52,35.776,0,0,0,0,0,88.385,29.155,143.79
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,64.9,24.69,73.91,128.9,0,33.92,0,0,66.361,0,52.828,64.852,2.967,34.246,0,5.5457,0,541.69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,119,0,238.7,72.77,250.5,0,21.99,38.85,116.3,172.31,0,93.712,46.659,34.654,44.422,230.89,2.4793,40.609,14.12
0,0,0,0,0,0,0,0,205.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.41,0,23.2,65.92,0,0,173.4,156.5,234.3,60.79,27.211,99.728,0,12.562,0,0,175.48,0,80.496,29.649
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,164,0,0,52.6,0,0,8.022,0,0,108.18,71.712,0,129.04,13.374,0,40.629,7.1013,2.4068,358.44
0,0,0,0,0,0,0,0,0,0,76.999,0,0,0,0,0,0,0,0,0
164.9,0,179.2,248.9,78.6,261.6,56.24,0,0,62.43,0,0,70.536,0,0,52.717,0,13.928,93.513,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.5,0,6.903,0,0,342.6,16.79,23.17,129.3,20.24,0,121.87,0,3.1014,44.704,68.703,30.055,0,76.06,35.707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103.2,87.74,0,0,0,268.7,12.58,0,0,0,0,0,0,0,25.444,0,9.4274,9.8315,0,182.83
0,0,0,0,0,0,0,0,0,0,736.35,0,0,0,0,0,0,0,0,0
0,0,285.1,0,186.6,0,28.18,91.06,213.7,77.78,102.27,104.22,191.52,49.49,95.017,0,0,60.317,37.691,256.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.62,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.1,137,10.91,102.5,652.2,249.1,38.27,0,0,0,61.032,0,204.87,40.621,40.876,1.8008,0,25.803,75.911,0
0,0,0,0,0,592.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.685,0,0,0,0,486.1,25.49,10.46,128.5,0,72.371,0,34.986,0,50.999,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247.7,0,935.2,0,65.75,115.1,50.06,0,119,39.52,67.613,87.984,51.547,46.116,110.58,215.82,48.375,301.89,43.65,117.63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,72.93,0,77.96,163,251.6,0,142.5,116.4,0,54.066,0,39.682,3.0545,29.875,0,114.09,117.19,0,27.179
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13.47,0,0,247.7,0,34.29,5.243,0,0,0,0,0,0,0,34.812,77.572,0,104.92
0,0,0,0,0,524.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.08,19.07,0,0,13.65,254.2,108.4,70.3,0,0,0,104.13,0,54.221,29.639,88.406,18.712,0,123.65,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.811,0
0,87.63,247.4,0,400.4,0,8.28,0,187.6,0,426.35,143.29,108.4,0,0,112.17,0,30.526,0,82.223
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.89,0,204.3,13.92,0,0,0,2.089,0,148.5,31.363,66.594,22.252,0,0,39.55,0,0,0,500.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24.57,304.8,0,0,207.3,79.87,65.6,0,44.93,19.374,284.18,2.591,44.372,20.661,0,0,0,109.78,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,65.91,21.9,344.9,95.13,184.3,40.53,635.6,146.2,229.3,44.639,106.4,68.61,0,0,0,76.532,762.6,126.94,148.91
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2174,0,0
9.331,16.99,0,0,0,0,121.1,0,191.9,357,8.95,17.944,12.509,0,0,18.166,7.0746,0,1.4112,234.39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5188,0
24.1,0,474.6,15.33,14.11,134.6,14.16,111.2,0,0,4.5366,0,6.332,54.922,14.32,0,0.17813,77.794,88.365,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.597,226.5,66.2,56.01,290.1,39.45,0,0,61.89,0,0,33.967,30.429,51.61,0,0,0,77.839,0
0,0,26.11,0,0,0,0,0,50.72,0,0,0,0,0,0,0,0,0,0,0
56.1,15.32,135.8,0,16.01,45.44,0,0,257.1,17.12,22.224,0,0,21.656,4.42,103.72,0,2.6433,0,61.346
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,147.7,0,0,36.45,5.165,38.59,17.38,0,0,47.438,69.646,201.87,171.7,16.154,207.67,13.398,0,0,74.416
0,52.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,37.39,0,209.7,106.8,0,162.7,57.37,22.5,0,0,18.076,0,20.261,0,15.255,0,141.24,166.93
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,24.46,0,0,0,52.88,55.7,0,0,0,0,0,133.18,23.85,0,37.874,0,0,20.279
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,142.2,177.7,0,0,0,0,24.35,132.6,80.98,123.48,52.955,0,0,32.21,0,0,0,0,196.82
0,0,0,0,0,2.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,299.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.11,71.03,29.09,179.7,576.1,133.4,505.6,0,60.03,0,135.98,0,150.31,9.3193,0,296.88,0,0,24.348,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,88.61,59.67,124.4,0,0,0.7181,0,0,0,0,0,189.35,7.8391,0,0.32998,8.9327,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.9,0,74.51,0,58.48,593.8,32.04,55.38,146.1,0,123.44,59.342,0,0,29.08,576.69,5.4279,22.631,192.44,0
0,0,384.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,74.48,0,102.6,0,99,120.7,105,0,137.4,0,304.27,180.97,0,84.057,0,107.96,32.202,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,81.01,0,20.4,0,287.9,41.33,45.27,273.8,137.1,0,164.94,207.69,87.544,0,0,22.763,0,16.462,0
0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,166.86,0,0,0,0
35.83,0,0,59.28,91.19,115,65.47,109.1,109.8,36.19,0,0,137.24,5.5548,0,13.816,2.5444,113.41,191.07,113.06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.77,22.69,109.4,84.61,44.95,24.8,26.37,397.3,0,143,463.86,310.5,141.84,0,93.567,0,48.439,0,48.952,84.222
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.73,45.64,0,0,0,141.8,0,412.9,28.34,0,0,213.58,0,34.11,25.473,0,31.652,0,0,0
0,0,0,0,0,0,0,0,159.8,0,0,0,0,0,0,0,0,0,0,0
57.23,132.4,0,230.6,7.967,0,486.6,0,19.67,0,172.29,135.65,0,40.159,49.301,37.709,26.328,13.527,0,127
0,0,547,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,114.1,58.87,94.14,447.9,30.32,24.1,85.58,164,91.331,0,310.89,40.173,84.883,32.85,0,75.017,456.13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.62,0,108.3,6.767,0,0,0,56.63,72.25,0,5.5154,61.51,16.28,11.313,1.1288,36.307,0.52356,0,0,36.943
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.56,105.1,0,134.7,0,55.57,27.44,85.21,18.58,0,23.298,0,71.975,0,27.357,0,73.064,40.012,96.138,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.713
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,117.3,137,0,98.19,139.8,38.26,0,7.822,240,0,40.206,138,62.501,36.311,10.349,40.749,105.57,0,302.15
0,0,0,0,0,0,0,0,0,40.52,0,0,0,0,0,0,0,0,0,0
27.98,18.47,45.05,0,0,34,50.21,36.17,0,52.38,8.7153,19.538,0,66.394,2.7432,21.911,7.4635,13.429,0,79.432
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.21,0,0,96.1,0,0,230.4,0,70.93,0,6.4174,554.31,0,0,0,0,0,41.322,160.87,41.429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.76,0,254.6,0,160,76.88,71.12,123.3,0,0,0,0,19.231,23.421,0,6.3662,169.56,627.03,106.08,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,38.58,21.46,27.68,0,20.825,10.104,0,312.63,37.043,8.9855,24.676,4.4122,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,30.596,0,0,0,0,0,0
0,110.8,92.45,262.3,25.89,44.57,52.75,114.3,0,24.21,44.953,84.695,0,0,20.276,134.84,0,0,152.15,77.379
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0
109.9,13.13,504.6,0,78.45,29.26,55.34,0,111,0,11.048,171.13,235.09,57.794,103.02,11.592,0,0,66.697,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,137.1,0,0,14.87,23.79,0,0,101.8,0,0,0,31.31,15.835,0,0,0,33.457,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,114.2,114.5,0,0,32.53,37.32,20.99,32.66,204.5,155.11,94.948,0,205.56,3.9183,182.67,0,2.2812,0,86.293
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,167.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,168.2,0,6.786,115.8,0,71.63,156.3,19.16,0,69.475,0,316.21,0,41.232,0,48.083,30.224,0,39.716
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.6,312.8,0,0,0,96.27,32.9,0,0,0,0,62.798,34.938,105.33,24.054,0,0,0,0,236.99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.6,179.1,118.8,0,142.3,96.75,30.05,0,0,80.14,0,55.87,206.13,0,0,176.03,27.874,0,0,157.26
0,0,28.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.81,78.92,0,86.23,2.842,0,30.68,149.5,71.25,138.2,61.359,13.814,0,20.062,77.407,214.87,57.943,84.964,57.143,397.24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,82.76,0,260.7,0,28.449,0,0,21.96,0,33.735,38.227,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.06,0,63.66,174.6,78.76,9.99,0,0,217.9,0,0,0,194.36,0,8.1953,197.09,0,178.92,215.45,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.73,0
27.62,110.3,132.5,309.1,33.61,398,24.46,0,0,119.8,67.689,77.162,0,34.278,65.674,0.26025,32.431,86.378,48.972,77.081
0,0,0,0,0,82.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18.01,34.13,0,0,0,0,0,0,159.92,0.32279,0,26.35,0,0,40.962,0,11.184
0,0,0,0,22.52,0,0,0,19.85,0,0,0,0,0,0,0,0,0,0,0
79.53,165,152.8,88.66,561.8,19,0,0,308.1,160.4,39.094,0,224.82,24.224,0,51.734,0,190.37,8.5422,67.648
0,0,387.7,0,0,0,0,0,0,0,7.664,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,39.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.666,0,162.3,0,0,316,142.3,288.2,0,105.7,0,33.309,0,31.921,45.74,212.48,0,74.688,87.711,59.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,242.4,58.02,0.5084,0,0,75.86,0,0,49.39,33.979,0,0,46.246,0,34.418,0,55.374,49.954,54.07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.2,149.4,158,39.1,0,46.91,38.91,0,33.33,0,0,110.84,238.8,64.926,44.697,9.6704,0,68.058,0,266.72
