15.42,0,0,15.12,16.59
0,0,0,0,0
72.97,26.87,293.1,88.79,71.15
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,20.17,0,51.48,0
0,0,0,0,0
1.926,28.2,0,52.35,0
0,0,153.2,0,0
128.8,0,63.13,0,181.2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
74.59,105.2,154.4,12.2,109.8
0,0,0,0,0
0,0,0,0,68.23
0,0,0,0,0
0,8.338,266.5,149,237.3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
141.5,111.2,0,93.34,312.4
0,0,0,0,0
0,18.69,0,0,50.36
0,0,0,0,0
0,1.012,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
90.11,7.495,0,0,14.21
0,0,0,0,0
9.764,2.826,0,0,85.67
0,0,0,0,0
89.32,7.53,0,88.12,76.91
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,18.46,132.4,113.7,16.82
0,0,0,0,0
29.48,2.01,92.46,0,0
0,0,0,0,0
18.24,7.346,120.3,54.52,0
0,0,551.3,0,0
0,0,0,0,0
0,0,0,0,0
108.1,17.74,80.54,116.1,77.91
0,0,0,0,0
0,16.2,134.3,29.77,0
0,0,0,0,0
0,0,199.5,0,0
0,0,0,0,0
93.7,0,0,0,0
0,0,0,0,0
224.2,7.74,0,203.2,61.81
0,0,0,0,0
0,0,64.9,24.69,73.91
0,0,0,0,0
147,119,0,238.7,72.77
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
98.41,0,23.2,65.92,0
0,0,0,0,0
0,164,0,0,52.6
0,0,0,0,0
164.9,0,179.2,248.9,78.6
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
225.5,0,6.903,0,0
0,0,0,0,0
103.2,87.74,0,0,0
0,0,0,0,0
0,0,285.1,0,186.6
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
150.1,137,10.91,102.5,652.2
0,0,0,0,0
1.685,0,0,0,0
0,0,0,0,0
247.7,0,935.2,0,65.75
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,72.93,0,77.96,163
0,0,0,0,0
0,0,13.47,0,0
0,0,0,0,0
46.08,19.07,0,0,13.65
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,87.63,247.4,0,400.4
0,0,0,0,0
91.89,0,204.3,13.92,0
0,0,0,0,0
0,24.57,304.8,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
70,65.91,21.9,344.9,95.13
0,0,0,0,0
9.331,16.99,0,0,0
0,0,0,0,0
24.1,0,474.6,15.33,14.11
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,8.597,226.5,66.2,56.01
0,0,26.11,0,0
56.1,15.32,135.8,0,16.01
0,0,0,0,0
0,147.7,0,0,36.45
0,52.88,0,0,0
0,0,0,0,0
0,0,0,0,0
104,0,37.39,0,209.7
0,0,0,0,0
0,0,24.46,0,0
0,0,0,0,0
0,142.2,177.7,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
18.11,71.03,29.09,179.7,576.1
0,0,0,0,0
0,0,88.61,59.67,124.4
0,0,0,0,0
152.9,0,74.51,0,58.48
0,0,384.2,0,0
0,0,0,0,0
0,0,0,0,0
40,74.48,0,102.6,0
0,0,0,0,0
0,81.01,0,20.4,0
0,0,0,0,0
35.83,0,0,59.28,91.19
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
25.77,22.69,109.4,84.61,44.95
0,0,0,0,0
30.73,45.64,0,0,0
0,0,0,0,0
57.23,132.4,0,230.6,7.967
0,0,547,0,0
0,0,0,0,0
0,0,0,0,0
0,0,114.1,58.87,94.14
0,0,0,0,0
11.62,0,108.3,6.767,0
0,0,0,0,0
71.56,105.1,0,134.7,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
