15.3,0,16.18,0
0,0,0,0
0,0,0,83.97
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,249.8
0,0,0,0
22.73,0,24.93,0
0,0,0,0
0,124,16.49,147.1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,17.78
0,0,0,0
12.41,12.33,8.823,297.1
0,0,0,0
0,0,32.4,170.7
0,0,0,0
0,0,0,0
0,0,0,0
0,75.23,5.836,576.3
0,0,0,0
23.69,59.07,33.38,0
0,0,0,0
2.428,2.45,27.51,143.5
0,0,0,0
0,0,0,0
0,0,0,0
0,9.503,28.51,103
0,0,0,0
0,8.184,0,153.7
0,0,0,0
46.64,119.2,32.86,4.021
0,0,0,0
0,0,0,0
0,0,10.44,0
7.448,35.4,282.1,130.2
0,0,0,0
0,0,0,112.9
0,0,0,0
123.6,366.9,109.5,0
0,0,0,0
0,0,0,0
0,0,0,0
0,36.67,57.09,0
0,0,0,0
18.7,2.359,256.1,30.86
0,0,0,0
0,0,67.06,106
0,0,0,0
0,0,0,0
0,0,0,0
121,0,567.5,0
0,0,0,0
15.32,23.35,17.3,31.87
0,0,0,0
0,28.44,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,108,0,88.94
0,0,0,0
22.56,0,22.85,58.47
0,0,0,0
0,211.6,37.37,0
0,0,0,0
0,0,0,0
0,0,0,0
0,72.21,0,83.42
0,0,0,15.51
14.75,0,0,0
0,0,0,0
0,172.6,102.7,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,240.9
0,0,0,0
28.08,0,110.6,296.1
0,0,0,0
0,0,273.8,0
0,0,0,0
0,0,0,0
0,0,0,0
14.16,0,0,141.4
0,0,0,0
14.32,0,35.54,45.35
0,0,0,0
19.68,0,0,251.3
0,0,0,0
0,0,0,0
0,0,0,0
170.6,182,133,147.8
0,0,0,0
0,0,50.88,0
0,0,0,0
164.2,7.775,0,0
0,0,0,0
0,0,0,0
0,0,0,0
84,149.5,105.4,120.1
0,0,0,0
0,6.809,0,19.72
0,0,0,0
197.1,104.9,0,111.3
0,0,0,0
0,0,0,0
0,0,0,0
0,87.55,319.7,0
0,0,0,0
17.19,0,15.94,38.4
0,0,0,0
0,86.85,0,22.54
0,0,0,0
0,0,0,0
0,0,0,0
0,64.31,0,92.25
0,0,0,0
21.01,0,26.91,28.73
0,0,0,0
0,101.5,29.9,52.2
0,0,0,0
0,0,0,0
0,0,0,0
0,85.39,0,0
0,0,0,0
14.12,0,17.09,0
0,0,0,0
0,0,188.4,41.31
0,0,0,0
0,0,0,0
0,0,0,0
0,48.96,0,135
0,0,0,0
28.71,0,0,0
0,0,0,0
0.169,125.6,0,0
0,0,0,0
0,0,0,0
0,0,0,0
9.26,11.24,146.5,61.66
0,0,0,0
0,0,47.93,2.666
0,0,0,0
87.59,26.23,8.98,22.37
0,0,0,0
0,0,0,0
0,0,0,0
75.13,0,82.7,23.45
0,0,0,0
0,31.66,25.33,68.72
0,0,0,0
68.2,22.85,91.07,0
0,0,0,0
0,0,0,0
0,0,0,0
95.22,52.75,10.61,39.46
0,0,0,0
0,23.99,0,10.59
0,0,0,0
0,0,22.96,43.85
0,0,0,0
0,0,0,0
0,0,0,0
92.37,82.05,158.8,0
0,0,0,0
15.32,0,16.7,0
0,0,0,0
0,0,0,75.09
0,0,0,0
0,0,0,0
0,0,0,0
0,58.55,0,0
0,0,0,0
23.04,1.054,25.59,55.87
0,0,0,0
0,269.9,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,23.58
0,0,0,0
13.94,71.38,16.07,29.55
0,0,0,0
0,0,30.21,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,64.36,29.4
0,0,0,0
32.97,102.9,33.8,3.786
0,17.9,0,0
0,0,12.85,126.6
0,0,0,0
0,0,0,0
0,0,0,0
0.04785,162.9,79.67,0
0,9.514,0,0
0,0,0,79.87
0,0,0,0
0,266.4,66.14,0
0,0,0,0
0,0,0,0
0,0,0,0
68.98,0,0,22.86
0,0,0,0
0,0,51.33,20.96
0,0,0,0
268.3,25.14,0,0
0,105.9,0,0
0,0,0,0
0,0,0,0
0,208.2,16.75,0
0,0,0,0
67.75,25.24,24.8,7.929
0,0,0,0
0,0,0,54.93
0,0,0,0
0,0,0,0
0,0,0,0
0,0,35.19,11.42
0,0,0,0
17.11,0,26.54,0
0,0,0,0
0,50.18,23.68,71.19
0,0,0,0
0,0,0,0
0,2.294,0,0
0,205.7,0,0
0,0,0,0
24.81,0,5.533,72.99
0,0,0,0
10.74,174.3,51.04,29.52
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,194.7
0,0,0,0
10.9,172.7,23.62,0
0,0,0,0
21.36,137.3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.821,571.4,29.02,15.4
0,0,0,0
28.86,0,2.924,0
0,0,0,0
26.84,150.7,0,0
0,0,0,0
0,0,0,0
0,0,0,0
18.62,164.6,127.3,45.96
0,0,0,0
0,215.2,7.043,77.96
0,0,0,0
2.423,0,60.62,37.45
0,0,0,0
0,0,0,0
44.4,0,0,0
242.3,144.6,19.13,52.59
0,0,0,0
0,110.2,66.66,0
0,0,0,0
133.5,0,27.49,0
0,0,0,0
0,0,0,0
0,0,0,0
0.08731,8.321,159.2,0
0,0,0,0
150.2,30.92,0,6.926
0,0,0,0
77.42,100.5,0,21.76
0,0,0,0
0,0,0,0
0,0,0,0
598.9,0,18.12,0
0,0,0,0
15.75,11.25,26.83,1.952
0,0,0,0
0,0,47.43,128.7
0,0,0,0
0,0,0,0
0,0,0,0
0,80.46,0,0
0,0,0,0
24.76,81.75,0,58.08
0,0,0,0
18.09,0,169.6,133.4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,24.55,170.4
0,46.64,0,0
4.418,0,0,0
0,0,0,0
78.43,0,50,0
0,0,0,0
0,0,0,0
0,0,0,0
0,191.7,106.3,0
0,0,0,0
78.06,285.4,0,23.82
0,0,0,0
212.1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,116,80.96,103.2
0,0,0,0
15.3,61.21,10.27,85.18
4.551,0,0,0
0,260.9,121.6,46.22
0,0,0,0
0,0,0,0
0,0,0,0
77.24,120.2,0,22.16
0,0,0,0
79.2,0,63.35,33.35
0,0,0,0
0,0,113,0
0,0,0,0
0,0,0,0
0,0,0,0
72.37,94.05,189.3,0
8.44,0,0,0
25.7,31.25,0,14.99
0,0,0,0
0,105.6,0,0
0,0,0,0
0,0,0,0
0,0,0,0
271.6,0,0,0
0,0,0,0
17.78,52.51,28.84,0
0,0,0,0
0,0,0,72.39
0,0,0,0
0,0,0,0
0,0,0,0
0,42.49,0,0
0,0,0,0
23.39,23.71,16.99,2.902
0,0,0,0
18.97,89.61,159.3,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,89.02,346.1
0,0,0,0
17.53,1.471,14.3,14.61
0,0,0,0
164,38.46,0,51.31
0,0,0,0
0,0,0,0
0,0,0,0
0,119.2,72.89,23.94
0,0,0,0
0,32.49,0,0
0,0,0,0
0,0,154.8,14.29
0,0,0,0
0,0,0,0
0,0,0,0
152.9,82.23,94.88,21.11
