0,0,0
0,0,0
0,111.7,2.891
0,0,0
0,0,0
0,0,0
0,74.86,8.93
0,0,0
0,17.57,0
0,0,0
99.34,0,51.59
0,0,0
0,0,0
0,0,0
117.9,0,78.56
0,0,0
20.74,0,23.53
0,0,0
5.685,73.76,104.6
0,0,0
0,0,0
0,0,0
0,252.5,8.536
0,0,0
29.5,44.49,4.024
0,0,0
0,131.9,0
0,0,0
0,0,0
0,0,0
0,309.3,56.79
0,0,0
21.28,11.63,0
0,0,0
42.61,0,0
0,0,0
0,0,0
0,0,0
39.27,163.2,9.477
0,0,0
0,0,0
0,0,0
246.3,115.8,0
0,0,0
0,0,0
0,0,0
41.4,0,36.72
0,0,0
0,0,27.12
0,0,0
0,0,66.82
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,108.3,0
31.9,0,97
0,0,0
0,0,0
0,0,0
35.26,216.7,2.421
0,0,0
0,43.55,29.48
0,0,0
200.6,0,9.889
0,0,0
0,0,0
0,0,0
34.17,0,0
0,0,0
0,149.4,47.08
0,0,0
177.9,0,72.73
0,0,0
0,0,0
0,0,0
0,0,177.7
0,0,0
0,0,0
0,0,0
74.75,123.5,60.33
0,0,0
0,0,0
0,0,0
40.81,0,110.2
0,0,0
0,0,0
0,0,0
0,254.9,7.115
0,0,0
0,0,0
0,0,0
202.4,178.8,0
0,0,0
0,77.5,0
0,0,0
0,199.1,0
0,0,0
0,0,0
0,0,0
193.7,95.03,57.09
0,0,0
7.38,0,20.64
0,0,0
129.4,244.4,4.915
0,0,0
0,0,0
0,0,0
140.9,0,0
0,0,0
0,0,0
0,0,0
65,0,0
0,0,0
0,0,0
0,0,0
32.76,175.2,61.37
0,0,426.1
0,26.81,61.63
0,0,0
30.73,113,0
0,0,0
0,0,0
0,0,0
0,110.4,200.4
0,0,0
72.41,38.16,93.53
0,0,0
56.63,0,29.51
0,0,0
0,0,0
0,0,0
40.55,54.99,0
0,0,0
0,189,0
0,0,0
91.4,0,108.1
0,0,0
0,0,0
0,0,0
79.94,58.6,0
0,0,0
0,48.73,4.492
0,0,0
66.62,52.66,98.21
0,0,0
0,0,0
0,0,0
0,0,64.63
0,0,0
66.13,0,6.967
