15.49,16.5,39.19,64.73,168.8,17.22,0,38.75,73.56,23.88,0,32.76,0,0,0,5.502,0,0,1.251,64.99,0,23.84,0,0,89.94,0,11.432,0,3.8057,0,0,0,20.764,23.206,6.4958,33.464,2.9702,0,61.226,59.314
80.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,81.26,0,69.26,185.7,512.1,0,0,102.2,349.6,0,0,76.41,0,0,70.36,96.74,106.3,96.37,0,62.65,191.6,0,0,95.995,24.864,115.37,23.454,12.585,0,0,0,0,0,109.85,0,0
0,0,0,0,0,0,0,655.7,0,0,0,0,0,0,0,0,0,0,0,0,385.3,0,0,0,0,0,0,0,83.836,6.0112,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.67,0,0,45.39,0,0,0,0,24.26,0,1.712,106.7,50.94,0,235.8,33.58,165,0,0,0,0,0,257.9,0,169.3,0,0,40.434,49.759,0,0,0,0,0,0,0,110.01,0,0,34.522
7.964,0,0,0,0,0,0,0,0,0,0,0,0,0,911.4,0,0,0,0,0,0,0,57.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37.76,0,23.49,0,26.92,0,0,0,84.48,0,0,73.49,57.51,522.4,0,0,0,33.92,12.85,84.56,8.932,42.57,0,0,32.804,59.935,20.176,37.941,111.34,37.002,0,47.619,0,0,0,25.37,0.57775,10.633,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
